Source,Target,Weight
Anh,Vương quốc Anh,80
TP HCM,Đồng Nai,80
Donald Trump,Israel,80
Hà Tĩnh,Nam Định,80
Philippines,[UNK] Độ,80
Philippines,Singapore,80
Ba Lan,Đức,80
Liên Xô,Việt Nam,80
Campuchia,Malaysia,80
NATO,Trump,80
AFP,Reuters,80
Báo Nhân Dân,Hà Nội,80
Nhật Bản,Philippines,79
TP Hà Nội,Việt Nam,79
Long An,TP. HCM,79
Israel,Trump,79
Cà Mau,tỉnh Cà Mau,79
New Delhi,[UNK] Độ,79
Arsenal,Man City,79
Kiev,phương Tây,79
Thổ Nhĩ Kỳ,Volodymyr Zelensky,79
HAGL,Việt Nam,79
TP. HCM,Trung Quốc,78
Hà Nội,quận Ba Đình,78
Công an Hà Nội,Hà Nội,78
Mỹ,bang California,78
Mỹ,Vatican,78
Hà Giang,Hà Nội,78
Ba Vì,Hà Nội,78
Indonesia,Mỹ,78
Donald Trump,Moscow,78
Canada,châu Âu,78
EU,Trung Quốc,78
Khánh Hòa,Đà Nẵng,78
Philippines,Đông Nam Á,78
Bác Hồ,Tô Lâm,78
Dân trí,báo Dân trí,78
Toyota,Việt Nam,78
Azerbaijan,Việt Nam,78
Việt Nam,phương Tây,77
Mỹ,Syria,77
Nga,Tô Lâm,77
TP HCM,Trung Quốc,77
Hoa Kỳ,Trung Quốc,77
Bộ Công an,Hồ Chí Minh,77
tỉnh Đắk Lắk,Đắk Lắk,77
Donald Trump,Pháp,77
Bắc Giang,Việt Nam,77
Hồng Kông,Trung Quốc,77
Ba Lan,Mỹ,77
Dinh Độc Lập,Sài Gòn,77
Gaza,Palestine,77
Hamas,Trung Đông,77
TPHCM,tphcm,76
Việt Nam,Đắk Lắk,76
Việt Nam,quận 1,76
Hà Nội,Quảng Trị,76
Quảng Ninh,tỉnh Quảng Ninh,76
Thái,Việt Nam,76
Bạc Liêu,Cà Mau,76
Công an TP Hà Nội,Hà Nội,76
Apple,Samsung,76
Canada,Trump,76
Bắc Kinh,Washington,76
EU,Trump,76
Hoàn Kiếm,Hà Nội,76
Moskva,Ukraine,76
Phạm Minh Chính,Trần Thanh Mẫn,76
Nhà Trắng,Reuters,76
Istanbul,Volodymyr Zelensky,76
AFP,Ukraine,76
Houthi,Yemen,76
Nhật Bản,Đông Nam Á,75
TP. HCM,Thanh Hóa,75
Nga,Quảng trường Đỏ,75
Lâm Đồng,Đà Lạt,75
Singapore,[UNK] Độ,75
Hội An,Việt Nam,75
Donald Trump,Joe Biden,75
Nha Trang,Đà Nẵng,75
Hồ,Việt Nam,75
Phạm Minh Chính,VGP,75
Istanbul,Trump,75
Joe Biden,Trump,75
Petrovietnam,Việt Nam,75
Quân đội nhân dân Việt Nam,Việt Nam,75
Hà Nội,quận Đống Đa,74
Hà Nội,Long Biên,74
Hà Nội,Tây Hồ,74
Pháp,châu Á,74
Mỹ,Yemen,74
Bình Thuận,Hà Nội,74
[UNK],châu Á,74
châu Phi,châu Âu,74
Bình Định,Hà Tĩnh,74
Iran,Trump,74
Qatar,Trung Đông,74
Trump,Volodymyr Zelensky,74
Ba Lan,Pháp,74
Paetongtarn Shinawatra,Thái Lan,74
Barcelona,Tây Ban Nha,74
Washington,châu Âu,74
Ban Bí thư,Tô Lâm,74
Kazakhstan,Tô Lâm,74
Công an TP Đà Nẵng,Đà Nẵng,74
Nam Bộ,Việt Nam,73
Hà Nội,Minh,73
Hà Nội,Hà Nội FC,73
Mỹ,Đà Nẵng,73
Hồ Chí Minh,Điện Biên Phủ,73
Trung Đông,châu Âu,73
Hà,Hà Nội,73
Bình Dương,Long An,73
Cao Bằng,Lạng Sơn,73
Bến Tre,Tiền Giang,73
Iran,Nga,73
Bộ Chính trị,Trần Thanh Mẫn,73
Việt Nam,Đại học Quốc gia Hà Nội,72
CNBC,Mỹ,72
Bình Thuận,Đà Nẵng,72
Donald Trump,Đức,72
Cần Thơ,Việt Nam,72
Hạ Long,Quảng Ninh,72
Kashmir,[UNK] Độ,72
Hamas,Palestine,72
Pháp,Trump,71
Bình Thuận,Thanh Hóa,71
Hồ Chí Minh,Mỹ,71
châu Âu,phương Tây,71
Hà,Việt Nam,71
Nam Định,Đà Nẵng,71
Thái Lan,Đài Loan,71
Canada,[UNK],71
Pakistan,Trung Quốc,71
AP,Trung Quốc,71
Italy,Mỹ,71
Ba Lan,Nga,71
Istanbul,Moscow,71
Thổ Nhĩ Kỳ,châu Âu,71
Scott Bessent,Trung Quốc,71
Kashmir,Pakistan,71
Hà Nội,Sơn La,70
Hà Nội,ha,70
Hồ Chí Minh,TTXVN,70
Hồ Chí Minh,Pháp,70
TP HCM,quận Bình Thạnh,70
Bắc Kạn,tỉnh Bắc Kạn,70
Cao Bằng,Hà Nội,70
Thụy Sĩ,Việt Nam,70
Bắc Mỹ,châu Âu,70
Bộ Xây dựng,Hà Nội,70
Bác Hồ,Hồ,70
Bình Định,HAGL,70
Trump,Đức,70
sông Hàn,Đà Nẵng,70
Arsenal,PSG,70
Google,Mỹ,70
Leo XIV,Mỹ,70
Scott Bessent,Trump,70
JD Vance,Mỹ,70
Biden,Joe Biden,70
Houthi,Israel,70
TP. HCM,VN,69
Hà Nội,quận Nam Từ Liêm,69
Hà Nội,noi,69
Trung Quốc,Trung Đông,69
Hàn Quốc,Đông Nam Á,69
Hà Giang,Tuyên Quang,69
Bình Dương,Thanh Hóa,69
Donald Trump,Qatar,69
Thái Lan,[UNK],69
Cần Thơ,Hải Phòng,69
Bộ Giáo dục và Đào tạo,Việt Nam,69
Bắc Mỹ,Mỹ,69
Bác Hồ,Nghệ An,69
Bác Hồ,miền Nam,69
Phú Quốc,Đà Nẵng,69
Cục Dự trữ Liên bang Mỹ,Mỹ,69
Ba Lan,Việt Nam,69
Paetongtarn Shinawatra,Việt Nam,69
Bộ Chính trị,Nguyễn Trọng Nghĩa,69
Báo Nhân Dân,Hồ Chí Minh,69
Lương Cường,Tô Lâm,69
TP. HCM,quận 1,68
Hà Nội,Thanh Xuân,68
Hà Nội,quận Tây Hồ,68
Nam Định,Quảng Nam,68
Donald Trump,EU,68
Ngân hàng Nhà nước,Việt Nam,68
Liên Hợp Quốc,Việt Nam,68
ASEAN,Đông Nam Á,68
Trump,[UNK] Độ,68
AP,Nga,68
Campuchia,Đông Nam Á,68
Marco Rubio,Ukraine,68
Hà Nội FC,Việt Nam,68
Nhật Bản,TP. HCM,67
Hà Nội,Nha Trang,67
Mỹ,châu Phi,67
Mỹ,Tehran,67
Huế,Tây Nguyên,67
Bình Thuận,Tây Nguyên,67
miền Nam,Đà Nẵng,67
Phương,Việt Nam,67
Bình Dương,TPHCM,67
An Giang,Việt Nam,67
Long An,Tiền Giang,67
Long An,Đồng Nai,67
Donald Trump,Iran,67
Paris,Việt Nam,67
Hải Phòng,Khánh Hòa,67
Bắc Giang,Bắc Ninh,67
Moscow,Thổ Nhĩ Kỳ,67
Bộ Giáo dục và Đào tạo,Hà Nội,67
Tây Ninh,Việt Nam,67
Quảng Trị,Việt Nam,67
TP. HCM,miền Tây,66
Việt Nam,tỉnh Nghệ An,66
Hà Nội,quận Hai Bà Trưng,66
Trung Đông,UAE,66
Lào,Malaysia,66
Hà Lan,Mỹ,66
Hà Tĩnh,Hải Phòng,66
Cần Thơ,TP. HCM,66
tỉnh Đồng Nai,Đồng Nai,66
Malaysia,châu Á,66
Bình Định,Thanh Hóa,66
Myanmar,Trung Quốc,66
AFP,châu Âu,66
Liên bang Nga,Tô Lâm,66
Dải Gaza,Palestine,66
Nam,Đà Nẵng,65
Đắk Lắk,Đắk Nông,65
Hà Nội,quận Thanh Xuân,65
Trung Quốc,Việt,65
Nhật,Trung Quốc,65
Mỹ,miền Bắc,65
Nga,Nhật Bản,65
Trung Đông,Ukraine,65
Hà Lan,Việt Nam,65
Hà Lan,Đức,65
Singapore,[UNK],65
Donald Trump,[UNK] Độ,65
Thái Lan,châu Âu,65
Cần Thơ,Sóc Trăng,65
Bình,Việt Nam,65
Kiên,Victor Vũ,65
Bình Định,SLNA,65
